Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.280 0.531 -9.883 |-0.916 -0.183 -0.122 |17916
-0.253 0.512 -9.890 |-0.854 -0.061 0.061 |17000
-0.227 0.503 -9.936 |-0.793 -0.061 -0.061 |17125
-0.258 0.503 -9.917 |-0.610 -0.183 -0.183 |16875
-0.263 0.517 -9.909 |-0.427 -0.183 -0.122 |16417
-0.249 0.515 -9.943 |-0.427 -0.061 0.000 |16583
-0.232 0.496 -9.933 |-0.549 0.000 0.061 |16333
-0.227 0.515 -9.902 |-0.610 -0.061 0.061 |16291
-0.246 0.503 -9.905 |-0.549 -0.061 0.000 |16291
-0.263 0.524 -9.902 |-0.488 -0.061 0.000 |16208
-0.263 0.524 -9.902 |-0.549 -0.122 -0.061 |16500
-0.270 0.558 -9.890 |-0.610 -0.122 -0.122 |16583
-0.284 0.546 -9.890 |-0.488 -0.244 -0.122 |16875
-0.251 0.517 -9.874 |-0.366 -0.183 -0.122 |16625
-0.251 0.519 -9.898 |-0.305 -0.122 0.000 |16708
-0.258 0.524 -9.909 |-0.305 -0.122 0.000 |16542
-0.234 0.510 -9.900 |-0.305 0.000 0.122 |16875
-0.244 0.534 -9.926 |-0.305 0.000 0.061 |16708
-0.251 0.539 -9.950 |-0.366 -0.061 0.000 |16583
-0.263 0.515 -9.933 |-0.427 0.061 0.000 |16458
-0.258 0.519 -9.888 |-0.488 0.061 -0.061 |18458
-0.234 0.534 -9.900 |-0.366 0.000 -0.061 |64000
-0.229 0.527 -9.886 |-0.305 -0.122 -0.122 |19834
-0.256 0.512 -9.869 |-0.305 -0.122 -0.122 |16959
-0.268 0.517 -9.893 |-0.305 0.000 0.061 |17250
-0.237 0.519 -9.914 |-0.244 0.000 0.183 |16250
-0.239 0.493 -9.898 |-0.183 0.000 0.183 |231709
-0.239 0.515 -9.902 |-0.061 0.061 0.183 |21208
-0.239 0.546 -9.931 |0.061 0.061 0.183 |18000
-0.258 0.524 -9.955 |0.122 -0.061 0.183 |18375
-0.241 0.536 -9.898 |0.122 -0.061 0.122 |16708
-0.241 0.536 -9.898 |0.061 -0.061 -0.122 |26625
-0.261 0.551 -9.919 |0.061 -0.061 -0.183 |19458
-0.268 0.529 -9.957 |0.061 -0.061 0.000 |16917
-0.234 0.491 -9.950 |0.061 0.061 0.122 |17417
-0.234 0.491 -9.950 |0.183 0.244 0.061 |16583
-0.210 0.500 -9.905 |0.122 0.244 0.061 |16875
-0.208 0.548 -9.917 |0.122 0.244 -0.061 |17458
-0.244 0.551 -9.917 |0.122 0.183 -0.122 |16416
-0.239 0.529 -9.905 |0.305 0.061 -0.061 |16417
-0.232 0.522 -9.914 |0.305 0.061 -0.061 |16334
-0.251 0.512 -9.940 |0.366 0.061 0.061 |17958
-0.251 0.512 -9.969 |0.366 0.122 0.122 |16542
-0.251 0.522 -9.978 |0.427 0.061 0.122 |16458
-0.253 0.507 -10.002 |0.427 0.000 0.183 |20958
-0.239 0.510 -9.988 |0.366 -0.061 0.305 |56625
-0.220 0.500 -9.988 |0.427 0.183 0.305 |54667
-0.222 0.507 -9.964 |0.610 0.183 0.183 |54000
-0.253 0.519 -9.997 |0.610 0.122 0.183 |17792
-0.213 0.524 -9.950 |0.671 0.000 0.305 |16250
-0.196 0.512 -9.945 |0.732 0.061 0.366 |16875
-0.229 0.510 -9.938 |0.793 0.122 0.427 |16500
-0.229 0.510 -9.938 |0.732 0.000 0.488 |16000
-0.234 0.505 -9.957 |0.793 -0.061 0.427 |16459
-0.234 0.510 -9.976 |0.793 -0.122 0.427 |16292
-0.258 0.505 -9.924 |0.793 -0.061 0.427 |23041
-0.249 0.539 -9.900 |0.732 0.061 0.488 |17166
-0.241 0.512 -9.926 |0.732 0.122 0.549 |16500
-0.251 0.500 -9.964 |0.610 -0.122 0.671 |16250
-0.251 0.500 -9.964 |0.610 -0.244 0.732 |57166
-0.239 0.522 -9.957 |0.732 -0.183 0.854 |16916
-0.263 0.493 -9.945 |0.854 -0.122 0.793 |24250
-0.270 0.510 -9.959 |0.793 0.000 0.732 |17458
-0.270 0.510 -9.959 |0.793 0.000 0.732 |50875
-0.256 0.517 -9.936 |0.793 0.000 0.854 |16917
-0.249 0.517 -9.957 |0.854 0.000 0.977 |17417
-0.222 0.512 -9.964 |0.854 -0.061 0.916 |16708
-0.203 0.517 -9.976 |0.916 -0.244 0.916 |16125
-0.270 0.488 -10.019 |0.854 -0.305 0.916 |23833
-0.263 0.500 -9.924 |0.854 -0.244 0.977 |16333
-0.225 0.536 -9.869 |0.854 -0.244 0.977 |16292
-0.225 0.503 -9.926 |0.916 -0.183 1.038 |16167
-0.220 0.486 -9.945 |0.916 -0.244 1.038 |16750
-0.213 0.486 -10.002 |0.916 -0.183 0.977 |19000
-0.191 0.486 -9.990 |1.038 -0.122 0.977 |16708
-0.213 0.505 -9.898 |1.099 -0.183 1.099 |16125
-0.229 0.469 -9.874 |1.038 -0.244 1.099 |16542
-0.229 0.472 -9.917 |0.977 -0.305 0.916 |16750
-0.234 0.491 -9.924 |0.916 -0.305 0.793 |16125
-0.208 0.469 -9.917 |1.038 -0.305 0.916 |16000
-0.208 0.469 -9.917 |1.038 -0.244 1.038 |24083
-0.258 0.481 -9.921 |0.977 -0.244 1.160 |18500
-0.251 0.486 -9.926 |0.977 -0.244 1.160 |17167
-0.244 0.496 -9.957 |1.099 -0.366 1.221 |16042
-0.244 0.496 -9.957 |1.038 -0.244 1.343 |15834
-0.241 0.476 -10.002 |1.038 -0.122 1.465 |19458
-0.222 0.467 -10.007 |1.038 -0.183 1.404 |18667
-0.201 0.467 -9.926 |0.977 -0.244 1.343 |16208
-0.210 0.455 -9.905 |0.977 -0.244 1.282 |15958
-0.225 0.452 -9.898 |0.977 -0.244 1.282 |16000
-0.201 0.445 -9.905 |1.038 -0.244 1.343 |15875
-0.218 0.457 -9.914 |0.977 -0.244 1.404 |16750
-0.239 0.462 -9.957 |0.977 -0.183 1.282 |16292
-0.234 0.479 -9.988 |1.038 0.000 1.221 |16291
-0.241 0.486 -9.990 |1.099 0.061 1.404 |16000
-0.241 0.445 -9.969 |1.160 -0.061 1.465 |16250
-0.229 0.460 -9.888 |1.038 -0.183 1.465 |15791
-0.227 0.507 -9.914 |0.977 -0.122 1.404 |18666
-0.244 0.512 -9.905 |0.977 -0.061 1.343 |16959
-0.256 0.543 -9.874 |1.099 -0.122 1.282 |16792
-0.256 0.543 -9.874 |1.160 -0.061 1.465 |16792
-0.244 0.553 -9.966 |1.099 0.000 1.526 |15709
-0.225 0.510 -9.988 |1.038 -0.061 1.465 |16250
-0.229 0.488 -9.945 |1.099 -0.061 1.343 |16041
-0.232 0.493 -9.964 |1.160 -0.061 1.343 |16042
-0.237 0.507 -9.936 |1.160 -0.061 1.343 |16209
-0.258 0.474 -9.905 |1.099 0.000 1.404 |23167
-0.239 0.476 -9.902 |1.099 -0.061 1.465 |18750
-0.222 0.510 -9.898 |1.038 -0.061 1.404 |18083
-0.239 0.496 -9.893 |1.038 -0.061 1.404 |16208
-0.227 0.486 -9.907 |0.977 0.061 1.343 |17708
-0.244 0.486 -9.917 |0.977 0.122 1.465 |17625
-0.239 0.491 -9.881 |1.099 0.122 1.343 |16583
-0.227 0.496 -9.912 |1.099 0.061 1.099 |16167
-0.273 0.467 -9.900 |1.038 -0.122 1.099 |234583
-0.270 0.476 -9.898 |1.099 -0.183 1.282 |20750
-0.239 0.503 -9.945 |1.099 -0.122 1.404 |17666
-0.232 0.467 -9.924 |1.038 -0.122 1.465 |20334
-0.239 0.479 -9.893 |1.038 -0.061 1.465 |18833
-0.229 0.493 -9.905 |1.099 0.000 1.465 |16000
-0.225 0.479 -9.964 |1.160 0.183 1.465 |16208
-0.239 0.491 -10.002 |1.160 0.244 1.404 |19500
-0.220 0.460 -9.988 |1.099 0.061 1.343 |17791
-0.220 0.469 -9.909 |0.916 -0.061 1.343 |16875
-0.261 0.498 -9.869 |0.854 -0.061 1.404 |16375
-0.253 0.505 -9.919 |0.916 -0.061 1.526 |16541
-0.253 0.505 -9.919 |1.038 -0.061 1.587 |17208
-0.241 0.527 -9.971 |1.160 -0.061 1.648 |16875
-0.222 0.491 -9.997 |1.160 -0.061 1.587 |16042
-0.201 0.450 -9.974 |1.038 0.000 1.465 |15917
-0.203 0.474 -9.940 |1.038 0.122 1.282 |16125
-0.196 0.469 -9.955 |1.038 0.122 1.282 |16250
-0.220 0.445 -9.955 |1.099 0.122 1.160 |16166
-0.239 0.467 -9.936 |1.160 0.183 1.221 |15917
-0.234 0.479 -9.957 |1.160 0.122 1.282 |16334
-0.229 0.474 -9.971 |1.221 0.000 1.343 |16041
-0.232 0.498 -10.009 |1.221 0.000 1.343 |18333
-0.241 0.522 -10.007 |1.221 0.061 1.404 |63208
-0.232 0.503 -9.928 |0.977 0.061 1.282 |22500
-0.222 0.479 -9.969 |0.977 0.000 1.221 |17250
-0.222 0.479 -9.969 |0.977 -0.061 1.282 |17042
-0.229 0.493 -9.957 |0.977 -0.122 1.282 |16875
-0.237 0.488 -9.905 |0.977 0.000 1.282 |16125
-0.234 0.472 -9.876 |1.099 0.000 1.160 |16125
-0.225 0.460 -9.909 |1.099 0.000 1.160 |16583
-0.215 0.455 -9.914 |1.099 0.000 1.160 |15875
-0.220 0.503 -9.886 |1.099 0.000 1.221 |16708
-0.225 0.515 -9.871 |1.038 0.061 1.282 |20333
-0.244 0.486 -9.893 |0.977 0.122 1.343 |17542
-0.210 0.467 -9.947 |0.977 0.122 1.404 |16167
-0.201 0.448 -9.985 |1.038 0.000 1.404 |15917
-0.258 0.467 -9.940 |1.038 -0.061 1.343 |16333
-0.280 0.486 -9.919 |0.916 0.000 1.343 |16750
-0.251 0.486 -9.966 |0.793 0.000 1.404 |16167
-0.225 0.481 -10.000 |0.916 -0.183 1.404 |17208
-0.232 0.488 -9.959 |1.099 -0.244 1.404 |17125
-0.253 0.488 -9.917 |1.038 -0.183 1.404 |17417
-0.253 0.488 -9.917 |0.916 -0.061 1.404 |17041
-0.234 0.472 -9.952 |0.916 -0.122 1.282 |56167
-0.239 0.476 -9.940 |0.916 -0.122 1.221 |16291
-0.232 0.452 -9.950 |0.854 -0.183 1.282 |16875
-0.222 0.448 -9.940 |0.854 -0.122 1.221 |17167
-0.227 0.464 -9.928 |0.854 -0.122 1.221 |24000
-0.210 0.491 -9.919 |0.916 0.000 1.099 |17792
-0.210 0.491 -9.919 |0.854 -0.061 1.221 |17417
-0.222 0.464 -9.969 |0.854 -0.183 1.343 |16041
-0.201 0.450 -9.957 |0.854 -0.244 1.404 |48917
