Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.045 9.870 -0.252 |0.366 -0.854 -0.244 |16166
-0.033 9.874 -0.292 |0.305 -0.916 -0.183 |56417
-0.038 9.829 -0.264 |0.183 -1.099 0.061 |16250
-0.033 9.800 -0.273 |0.183 -1.099 0.061 |16208
-0.014 9.817 -0.252 |0.366 -1.221 0.000 |15916
0.007 9.822 -0.257 |0.427 -1.160 -0.061 |16917
0.010 9.848 -0.271 |0.427 -1.160 -0.061 |16375
-0.031 9.894 -0.245 |0.427 -0.916 -0.061 |16500
-0.048 9.872 -0.264 |0.244 -0.916 0.122 |17500
-0.014 9.834 -0.285 |0.366 -1.038 -0.122 |16958
-0.024 9.867 -0.314 |0.427 -1.038 -0.244 |16500
-0.057 9.894 -0.311 |0.427 -1.038 -0.244 |16083
-0.029 9.831 -0.230 |0.427 -0.916 -0.122 |16459
-0.017 9.824 -0.190 |0.427 -0.854 0.061 |16208
-0.043 9.884 -0.204 |0.366 -0.916 0.122 |16709
-0.038 9.903 -0.233 |0.366 -0.916 0.000 |16167
-0.029 9.860 -0.292 |0.305 -0.854 -0.061 |16500
-0.045 9.827 -0.266 |0.427 -0.793 -0.122 |16292
-0.043 9.838 -0.264 |0.549 -0.916 -0.183 |55583
-0.031 9.843 -0.330 |0.732 -0.977 0.000 |16250
-0.031 9.848 -0.271 |0.610 -1.038 0.061 |16791
-0.038 9.838 -0.207 |0.549 -0.977 0.000 |16500
-0.041 9.838 -0.226 |0.549 -0.977 0.000 |16667
-0.036 9.831 -0.266 |0.610 -1.038 -0.061 |16625
-0.050 9.819 -0.321 |0.549 -1.099 -0.122 |16542
-0.022 9.841 -0.304 |0.488 -1.038 -0.244 |16166
-0.017 9.846 -0.259 |0.427 -0.977 -0.244 |16458
-0.010 9.846 -0.264 |0.488 -0.977 -0.244 |16458
0.002 9.848 -0.245 |0.610 -0.916 -0.244 |16208
-0.010 9.838 -0.171 |0.610 -0.977 -0.122 |56875
