Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.084 -0.517 -9.940 |-0.183 -0.244 0.000 |34292
-0.096 -0.510 -9.928 |-0.183 -0.183 0.000 |407417
-0.120 -0.524 -9.883 |-0.061 -0.122 -0.244 |37000
-0.127 -0.536 -9.890 |-0.061 0.000 -0.183 |28750
-0.122 -0.531 -9.945 |0.061 0.000 -0.061 |35375
-0.122 -0.488 -9.936 |0.061 -0.183 -0.061 |32000
-0.100 -0.505 -9.974 |0.061 -0.183 0.000 |29333
-0.086 -0.524 -9.947 |0.000 -0.122 -0.061 |23833
-0.117 -0.534 -9.983 |0.000 -0.061 -0.122 |34500
-0.141 -0.546 -9.978 |-0.061 -0.183 -0.122 |31167
-0.108 -0.546 -9.974 |-0.122 -0.122 0.000 |31042
-0.098 -0.527 -9.957 |-0.061 -0.061 0.000 |25250
-0.100 -0.512 -9.919 |0.061 -0.061 0.061 |33583
-0.115 -0.445 -9.940 |0.122 -0.061 0.061 |31250
-0.086 -0.469 -9.895 |0.183 -0.061 0.000 |21833
-0.091 -0.515 -9.917 |0.061 -0.061 -0.061 |29333
-0.110 -0.531 -9.955 |0.061 0.000 0.000 |19209
-0.105 -0.522 -9.926 |0.061 -0.061 -0.122 |17625
-0.103 -0.524 -9.964 |0.061 -0.061 -0.122 |16541
-0.115 -0.534 -9.966 |0.061 -0.061 -0.183 |16542
-0.124 -0.541 -9.955 |0.061 -0.061 -0.183 |18875
-0.139 -0.531 -9.976 |-0.061 -0.061 -0.061 |18666
-0.129 -0.531 -9.978 |-0.122 -0.122 0.000 |22500
-0.093 -0.541 -9.950 |0.061 -0.305 0.000 |55709
-0.060 -0.527 -9.902 |0.183 -0.183 0.122 |17000
-0.067 -0.548 -9.855 |0.122 -0.061 0.061 |16709
-0.091 -0.572 -9.852 |-0.061 0.000 -0.061 |16417
-0.096 -0.563 -9.917 |-0.122 0.000 -0.122 |16625
-0.110 -0.536 -9.909 |-0.122 0.000 -0.122 |16958
-0.117 -0.529 -9.943 |-0.061 -0.061 -0.183 |16500
-0.093 -0.496 -9.997 |-0.061 -0.122 -0.183 |16708
-0.076 -0.488 -9.962 |0.000 -0.061 -0.122 |16541
-0.076 -0.515 -9.931 |0.000 -0.061 0.000 |23292
-0.098 -0.515 -9.959 |-0.244 -0.122 -0.183 |20625
-0.091 -0.522 -9.974 |-0.244 -0.061 -0.305 |55167
-0.076 -0.548 -9.917 |-0.183 0.000 -0.366 |16291
-0.081 -0.517 -9.921 |-0.183 0.000 -0.183 |16125
-0.081 -0.517 -9.921 |-0.305 -0.061 -0.061 |16375
-0.088 -0.503 -9.924 |-0.366 -0.122 -0.061 |16750
-0.067 -0.503 -9.905 |-0.244 -0.183 0.000 |16041
-0.079 -0.500 -9.902 |-0.122 -0.122 0.000 |16416
-0.093 -0.512 -9.966 |-0.061 -0.183 -0.061 |16333
-0.053 -0.522 -10.000 |-0.061 -0.183 -0.061 |17709
-0.057 -0.519 -9.952 |-0.122 -0.122 -0.122 |56167
-0.096 -0.551 -9.940 |-0.244 0.000 -0.061 |19000
-0.088 -0.534 -9.890 |-0.183 0.122 0.000 |17208
-0.096 -0.505 -9.862 |-0.183 0.122 0.061 |16917
-0.091 -0.507 -9.924 |-0.244 0.000 0.061 |16625
-0.093 -0.529 -9.959 |-0.244 0.000 0.061 |16334
-0.084 -0.553 -9.924 |-0.305 -0.122 -0.427 |18000
-0.057 -0.517 -9.898 |-0.244 -0.061 -0.305 |55250
-0.067 -0.522 -9.955 |-0.183 -0.122 -0.061 |16625
-0.112 -0.517 -9.993 |-0.122 -0.122 0.061 |16583
-0.112 -0.493 -9.938 |-0.122 -0.122 0.061 |16500
-0.120 -0.493 -9.902 |-0.122 -0.061 0.122 |55542
-0.112 -0.496 -9.945 |-0.122 -0.061 0.000 |16750
-0.076 -0.512 -9.974 |-0.061 -0.122 -0.061 |16583
-0.074 -0.519 -9.971 |-0.183 -0.122 0.061 |16375
-0.067 -0.505 -9.945 |-0.183 -0.061 0.183 |16458
-0.076 -0.496 -9.957 |-0.183 -0.061 0.183 |16416
-0.098 -0.531 -9.940 |-0.061 -0.061 0.061 |16375
-0.105 -0.553 -9.905 |-0.061 -0.061 -0.061 |16500
-0.108 -0.529 -9.914 |-0.244 0.000 0.000 |23125
-0.098 -0.515 -9.924 |-0.244 -0.061 -0.061 |17584
-0.081 -0.531 -9.893 |-0.122 -0.183 0.061 |17208
-0.084 -0.529 -9.886 |-0.122 -0.061 0.183 |19916
-0.110 -0.503 -9.950 |-0.061 0.061 0.183 |17167
-0.122 -0.512 -9.926 |-0.122 -0.061 0.122 |16750
-0.096 -0.517 -9.886 |-0.122 -0.061 0.122 |16625
-0.093 -0.519 -9.855 |-0.183 -0.061 0.183 |16333
-0.103 -0.527 -9.874 |-0.183 0.061 0.244 |56250
-0.108 -0.541 -9.981 |-0.244 0.122 0.122 |16750
-0.091 -0.531 -10.016 |-0.244 0.122 0.000 |23916
-0.086 -0.534 -9.990 |-0.183 0.000 0.000 |16583
-0.091 -0.555 -9.990 |-0.183 0.000 0.000 |15917
-0.096 -0.519 -9.947 |-0.183 -0.061 0.061 |55625
-0.072 -0.522 -9.969 |-0.183 -0.061 0.122 |17208
-0.096 -0.519 -9.962 |-0.122 -0.061 0.122 |17083
-0.086 -0.524 -9.945 |-0.122 0.000 0.122 |16791
-0.093 -0.531 -9.912 |-0.244 -0.061 0.000 |16292
-0.110 -0.519 -9.907 |-0.366 -0.061 -0.061 |16666
-0.115 -0.491 -9.926 |-0.366 0.061 0.000 |55708
-0.131 -0.476 -9.926 |-0.244 0.122 0.000 |16417
-0.136 -0.498 -9.983 |-0.244 0.183 -0.122 |16459
-0.120 -0.539 -9.997 |-0.244 0.122 -0.122 |17375
-0.103 -0.539 -10.002 |-0.183 0.000 0.061 |230750
-0.096 -0.519 -10.014 |-0.061 -0.122 0.122 |32708
-0.076 -0.486 -9.981 |-0.061 -0.061 -0.061 |16750
-0.069 -0.491 -9.950 |-0.061 -0.061 -0.061 |16500
-0.108 -0.507 -9.888 |-0.183 0.000 -0.183 |55583
-0.088 -0.498 -9.952 |-0.305 0.000 -0.183 |24375
-0.100 -0.503 -9.962 |-0.244 0.000 -0.061 |17875
-0.103 -0.493 -9.976 |-0.122 -0.061 0.000 |17458
-0.096 -0.498 -9.983 |-0.183 -0.061 0.061 |16916
-0.105 -0.515 -9.955 |-0.183 0.061 0.183 |16542
-0.110 -0.531 -9.909 |-0.183 0.061 0.183 |16583
-0.096 -0.539 -9.909 |-0.244 0.061 0.122 |16333
-0.086 -0.519 -9.936 |-0.244 -0.061 0.061 |51583
-0.093 -0.503 -9.981 |-0.244 -0.122 -0.122 |17042
-0.093 -0.503 -9.981 |-0.183 -0.183 -0.183 |16791
-0.108 -0.505 -9.945 |-0.061 -0.183 -0.122 |56459
-0.110 -0.503 -9.905 |0.000 -0.183 0.000 |17000
-0.096 -0.519 -9.938 |0.000 -0.244 0.061 |16708
-0.088 -0.522 -9.921 |0.000 -0.244 0.061 |16625
-0.105 -0.505 -9.909 |0.061 -0.244 0.183 |16583
-0.110 -0.527 -9.952 |0.061 -0.305 0.244 |16333
-0.086 -0.553 -9.969 |-0.061 -0.183 0.183 |16416
-0.084 -0.541 -9.943 |-0.183 -0.122 0.061 |16666
-0.105 -0.519 -9.912 |-0.183 -0.061 -0.061 |16541
-0.105 -0.512 -9.890 |-0.122 0.000 -0.183 |17458
-0.079 -0.517 -9.890 |-0.061 0.061 -0.122 |24834
-0.074 -0.515 -9.964 |-0.122 0.122 0.061 |19917
-0.081 -0.517 -9.955 |-0.183 0.061 0.122 |17000
-0.086 -0.505 -9.955 |-0.183 0.000 0.061 |16875
-0.098 -0.496 -9.964 |-0.183 -0.061 0.000 |16625
-0.112 -0.512 -9.914 |-0.244 0.061 0.000 |16917
-0.112 -0.512 -9.914 |-0.244 0.061 0.000 |16875
-0.100 -0.515 -9.933 |-0.305 -0.122 0.061 |16667
-0.074 -0.529 -9.966 |-0.305 -0.122 0.000 |16292
-0.069 -0.543 -9.974 |-0.305 -0.061 -0.061 |16375
-0.088 -0.541 -9.936 |-0.122 -0.061 0.000 |17416
-0.096 -0.539 -9.931 |-0.122 -0.061 0.000 |16542
-0.086 -0.527 -9.945 |-0.061 -0.061 0.183 |16625
-0.100 -0.515 -9.962 |0.000 -0.122 0.000 |18292
-0.112 -0.500 -9.945 |-0.061 -0.061 0.061 |16917
-0.103 -0.484 -9.928 |-0.061 -0.061 0.061 |16458
-0.110 -0.484 -9.921 |-0.244 -0.122 0.000 |17375
-0.103 -0.484 -9.936 |-0.366 -0.122 -0.061 |16834
-0.079 -0.498 -9.955 |-0.305 -0.061 0.000 |16667
-0.088 -0.486 -9.909 |-0.244 0.000 0.000 |15916
-0.086 -0.491 -9.928 |-0.061 0.000 0.122 |55625
-0.105 -0.553 -9.917 |-0.183 0.000 0.061 |16916
-0.098 -0.543 -9.860 |-0.366 0.000 -0.061 |16709
-0.088 -0.503 -9.900 |-0.488 -0.122 0.122 |17000
-0.115 -0.486 -9.940 |-0.488 -0.122 0.122 |16708
-0.086 -0.488 -9.940 |-0.183 -0.244 0.000 |23083
-0.086 -0.510 -9.926 |-0.122 -0.183 0.061 |18250
-0.088 -0.493 -9.940 |-0.244 0.061 0.122 |16916
-0.060 -0.488 -9.959 |-0.366 0.122 0.183 |17209
-0.098 -0.522 -9.952 |-0.305 0.000 0.122 |16625
-0.134 -0.534 -9.947 |-0.244 -0.122 0.122 |55458
-0.110 -0.519 -9.890 |-0.122 -0.061 0.122 |17458
-0.074 -0.529 -9.890 |-0.061 0.061 0.183 |16625
-0.074 -0.536 -9.928 |0.000 0.000 0.244 |16250
-0.115 -0.515 -9.912 |-0.061 -0.122 0.122 |16917
-0.124 -0.515 -9.938 |-0.244 -0.122 -0.061 |16541
-0.103 -0.507 -9.940 |-0.244 -0.061 0.000 |16667
-0.062 -0.498 -9.893 |-0.244 -0.061 0.000 |16542
-0.062 -0.517 -9.874 |-0.244 -0.061 0.183 |16292
-0.093 -0.517 -9.921 |-0.183 -0.122 0.305 |16625
-0.108 -0.512 -9.971 |-0.122 -0.061 0.244 |16875
-0.115 -0.512 -9.959 |-0.183 0.000 0.061 |17042
-0.115 -0.500 -9.974 |-0.244 0.000 0.061 |16667
-0.098 -0.517 -10.012 |-0.183 -0.122 0.122 |23417
-0.084 -0.524 -9.950 |-0.061 -0.122 0.061 |56709
-0.112 -0.496 -9.936 |-0.183 0.000 0.183 |16666
-0.131 -0.496 -9.943 |-0.244 0.000 0.244 |16458
-0.127 -0.484 -9.883 |-0.244 0.061 0.122 |16708
-0.088 -0.481 -9.931 |-0.244 0.061 0.122 |16625
-0.060 -0.496 -9.959 |-0.244 0.122 0.122 |16583
-0.074 -0.505 -9.959 |-0.183 0.000 0.183 |55375
-0.096 -0.505 -9.855 |-0.244 -0.061 0.061 |23542
-0.096 -0.553 -9.900 |-0.244 -0.061 0.061 |17166
-0.098 -0.551 -9.966 |-0.122 -0.122 0.061 |16917
-0.096 -0.498 -9.978 |0.000 -0.122 0.183 |16458
-0.115 -0.512 -9.912 |-0.061 -0.061 0.183 |22542
-0.127 -0.522 -9.936 |-0.061 -0.061 0.183 |17208
-0.127 -0.522 -9.936 |-0.061 -0.122 0.000 |16500
-0.115 -0.498 -9.966 |-0.122 -0.061 0.000 |17084
-0.127 -0.529 -9.928 |-0.183 0.000 0.122 |311209
-0.108 -0.512 -9.981 |-0.183 -0.061 0.122 |18625
-0.129 -0.517 -9.938 |-0.122 -0.122 0.183 |16625
-0.112 -0.517 -9.981 |-0.122 -0.122 0.183 |16458
-0.105 -0.527 -9.988 |-0.183 -0.061 0.122 |16916
-0.105 -0.519 -9.933 |-0.244 0.000 0.122 |16666
-0.103 -0.531 -9.874 |-0.305 0.000 0.244 |16083
-0.110 -0.548 -9.869 |-0.244 0.000 0.305 |16625
-0.103 -0.543 -9.957 |-0.183 -0.122 0.305 |16500
-0.084 -0.512 -9.955 |-0.244 -0.122 0.244 |17000
-0.084 -0.512 -9.955 |-0.305 -0.122 0.122 |17291
-0.096 -0.498 -9.900 |-0.244 -0.122 0.061 |55833
-0.076 -0.519 -9.962 |-0.122 -0.122 0.061 |16584
-0.091 -0.498 -9.959 |-0.183 -0.061 0.122 |16667
-0.072 -0.519 -9.971 |-0.183 0.000 0.122 |16500
-0.074 -0.527 -9.898 |-0.061 0.000 0.183 |16541
-0.074 -0.527 -9.898 |-0.061 0.061 0.183 |16334
-0.088 -0.488 -9.881 |-0.122 0.000 0.122 |16625
-0.096 -0.496 -9.888 |-0.244 0.061 0.061 |16500
-0.110 -0.527 -9.888 |-0.183 0.000 0.122 |16459
-0.105 -0.515 -9.938 |-0.183 -0.061 0.244 |50250
-0.096 -0.515 -9.895 |-0.244 -0.122 0.183 |19500
-0.096 -0.505 -9.826 |-0.244 -0.061 0.122 |16792
-0.096 -0.529 -9.886 |-0.244 -0.061 0.122 |16750
-0.074 -0.527 -9.902 |-0.183 -0.061 0.122 |17625
-0.067 -0.522 -9.938 |-0.244 -0.061 0.183 |17542
-0.093 -0.517 -9.938 |-0.305 0.061 0.183 |16625
-0.096 -0.484 -9.912 |-0.366 0.122 0.244 |16625
-0.069 -0.498 -9.947 |-0.305 0.122 0.244 |16958
-0.055 -0.519 -9.990 |-0.244 0.000 0.183 |16542
-0.100 -0.510 -9.945 |-0.061 -0.061 0.061 |16667
-0.098 -0.493 -9.917 |-0.122 0.061 0.000 |19167
-0.088 -0.507 -9.969 |-0.183 0.061 0.061 |17209
-0.108 -0.510 -10.000 |-0.183 -0.061 0.000 |18333
-0.079 -0.517 -9.947 |-0.305 -0.122 -0.061 |17292
-0.055 -0.524 -9.888 |-0.244 -0.122 -0.122 |16666
-0.055 -0.524 -9.888 |-0.122 -0.061 -0.122 |16792
-0.079 -0.484 -9.931 |-0.183 0.061 0.000 |16500
-0.115 -0.500 -9.993 |-0.366 0.061 0.122 |16667
-0.100 -0.546 -9.955 |-0.366 0.061 0.122 |16583
-0.076 -0.529 -9.962 |-0.061 -0.305 0.305 |56000
-0.105 -0.534 -9.947 |-0.061 -0.366 0.305 |16500
-0.120 -0.527 -9.912 |-0.061 -0.305 0.183 |16917
-0.088 -0.534 -9.843 |-0.122 -0.122 0.061 |17000
