Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
9.775 0.108 -0.102 |1.099 -0.244 0.122 |16542
9.741 0.129 -0.090 |1.099 -0.244 0.122 |16417
9.748 0.132 -0.109 |1.160 -0.305 0.183 |16458
9.751 0.134 -0.100 |1.221 -0.244 -0.061 |16583
9.760 0.127 -0.081 |1.282 -0.183 -0.244 |16041
9.777 0.103 -0.057 |1.221 -0.122 -0.244 |16583
9.760 0.105 -0.062 |1.221 -0.122 -0.061 |16542
9.765 0.127 -0.069 |1.221 -0.305 0.000 |55917
9.794 0.113 -0.036 |1.221 -0.305 0.122 |56292
9.784 0.091 -0.071 |1.282 -0.183 0.061 |56500
9.775 0.115 -0.107 |1.343 -0.244 -0.122 |56292
9.767 0.084 -0.157 |1.160 -0.244 -0.122 |56792
9.803 0.122 0.014 |1.099 -0.244 -0.183 |56208
9.751 0.103 -0.095 |1.221 0.000 -0.122 |56958
9.763 0.101 -0.074 |1.099 0.061 -0.061 |56375
9.789 0.124 -0.131 |1.038 -0.244 0.061 |56750
9.789 0.141 -0.093 |1.099 -0.305 -0.061 |56542
9.787 0.136 -0.019 |1.099 -0.244 -0.122 |56542
9.772 0.108 -0.078 |1.221 -0.061 -0.183 |51834
9.782 0.124 -0.064 |1.221 -0.183 -0.061 |55458
9.755 0.136 -0.062 |1.038 -0.244 0.000 |16125
9.796 0.113 -0.100 |1.099 -0.305 -0.061 |35292
9.794 0.127 -0.090 |1.160 -0.122 -0.122 |37875
9.782 0.127 -0.074 |0.977 -0.061 -0.061 |41042
9.775 0.101 -0.076 |1.221 0.000 -0.122 |36791
9.760 0.117 -0.105 |1.221 0.122 -0.183 |33708
9.794 0.127 -0.059 |1.038 0.061 -0.366 |36459
9.798 0.168 -0.086 |1.160 0.000 -0.183 |30292
9.796 0.144 -0.100 |1.221 -0.061 0.000 |35500
9.746 0.141 -0.131 |1.221 -0.122 0.000 |31041
9.736 0.120 -0.112 |1.160 -0.183 0.122 |18250
9.758 0.105 -0.086 |1.160 -0.061 0.183 |35208
9.767 0.124 -0.012 |1.160 0.000 0.122 |29541
9.798 0.132 0.002 |1.038 0.061 0.122 |25083
9.830 0.108 -0.052 |1.038 0.061 0.122 |31584
9.825 0.120 -0.064 |1.038 0.061 0.061 |33834
9.779 0.151 -0.062 |1.099 0.000 0.000 |31125
9.758 0.136 -0.083 |1.221 -0.061 -0.061 |32291
9.763 0.153 -0.097 |1.160 -0.061 -0.061 |35667
9.739 0.148 -0.093 |1.221 0.061 0.061 |36250
9.770 0.117 -0.045 |1.160 0.122 -0.061 |37208
9.782 0.113 -0.088 |1.038 0.122 -0.183 |305916
9.751 0.117 -0.038 |1.099 0.061 0.122 |35792
9.772 0.081 -0.074 |1.160 0.183 0.000 |32958
9.767 0.091 -0.078 |1.221 0.244 -0.061 |32125
9.770 0.108 -0.090 |1.282 0.183 0.000 |33333
9.779 0.103 -0.097 |1.282 0.183 0.000 |32000
