Accel XYZ (m/s^2) |Gyro  XYZ (deg/sec)  |Time (nanoseconds)
-0.026 9.846 -0.321 |-0.244 0.366 0.061 |16583
-0.048 9.822 -0.302 |-0.183 0.366 -0.061 |16417
-0.029 9.810 -0.233 |-0.183 0.305 -0.122 |17000
-0.007 9.827 -0.181 |-0.244 0.244 -0.061 |16667
-0.014 9.853 -0.238 |-0.305 0.427 0.000 |16208
-0.014 9.853 -0.238 |-0.244 0.427 -0.061 |16416
-0.036 9.872 -0.285 |-0.366 0.366 -0.183 |16209
-0.022 9.865 -0.261 |-0.549 0.244 -0.183 |16542
-0.007 9.877 -0.318 |-0.488 0.244 -0.122 |16250
-0.026 9.870 -0.347 |-0.366 0.305 0.000 |16166
-0.033 9.867 -0.306 |-0.366 0.305 0.000 |16292
-0.043 9.858 -0.306 |-0.244 0.305 0.061 |16541
-0.067 9.855 -0.278 |-0.183 0.305 -0.061 |16542
-0.065 9.879 -0.240 |-0.122 0.305 -0.122 |16667
-0.043 9.867 -0.268 |-0.183 0.427 -0.061 |16333
-0.026 9.855 -0.309 |-0.244 0.366 0.122 |16750
-0.045 9.834 -0.316 |-0.244 0.366 0.122 |24458
-0.060 9.843 -0.306 |-0.244 0.366 0.122 |17292
-0.029 9.829 -0.211 |-0.244 0.366 -0.061 |16708
-0.017 9.827 -0.214 |-0.183 0.244 -0.183 |16250
-0.019 9.838 -0.299 |-0.183 0.061 -0.183 |16417
-0.022 9.834 -0.304 |-0.244 0.122 -0.061 |16833
-0.026 9.858 -0.283 |-0.305 0.244 0.122 |16500
-0.036 9.855 -0.271 |-0.305 0.305 0.183 |16541
-0.045 9.843 -0.273 |-0.244 0.244 0.122 |16417
-0.031 9.838 -0.330 |-0.244 0.183 0.061 |16542
-0.041 9.855 -0.368 |-0.366 0.244 0.061 |16666
-0.045 9.894 -0.330 |-0.427 0.366 0.122 |16625
-0.012 9.865 -0.299 |-0.488 0.488 0.122 |22958
-0.012 9.865 -0.299 |-0.427 0.427 0.061 |17333
-0.017 9.819 -0.273 |-0.305 0.305 0.000 |16833
-0.026 9.836 -0.290 |-0.183 0.305 -0.122 |17250
-0.022 9.865 -0.344 |-0.183 0.305 -0.244 |16375
-0.038 9.850 -0.354 |-0.122 0.366 -0.183 |17167
-0.038 9.822 -0.283 |-0.122 0.366 -0.183 |16792
-0.022 9.827 -0.259 |-0.122 0.366 -0.061 |16791
-0.010 9.841 -0.330 |-0.183 0.244 -0.061 |16542
-0.041 9.862 -0.342 |-0.244 0.244 0.000 |16250
-0.055 9.865 -0.328 |-0.244 0.244 0.000 |16458
-0.038 9.850 -0.280 |-0.305 0.305 -0.122 |16459
-0.055 9.824 -0.254 |-0.366 0.488 -0.122 |16458
-0.062 9.836 -0.314 |-0.427 0.427 0.061 |18417
